"submission_id","is_training","trial_id","comments","languages","trial_type","pc_prag_analysis","rating_adopt","inferred_goal_strength","is_critical","sentence_after","prolific_session_id","context","experiment_end_time","rating_g","marker","trial_key","age","g_implied_analysis","question_adopt","pc_prag","display_order","scale_step","scale_min","trial_index","item_id","education","scale_max","topic","list_num","g_implied","adoption_likelihood","sentence_before","condition_index","prolific_pid","marker_assignment_source","experiment_duration","is_filler","prolific_study_id","rt","question_goal","recommended_action","responseTime","experiment_start_time","mean_pc_prop_rating","pc_prop_c","marker_strength","marker_strength_c","pc_prag_c","inferred_goal_strength_prop","adoption_likelihood_prop","inferred_goal_strength_beta","adoption_likelihood_beta","condition"
"3610",FALSE,"8","","Deutsch","critical","high",54,70,TRUE,"die regionale Wirtschaft nachhaltig.","69ad10e7e1735c0b213c626f","Dein/e Gesprächspartner/in spricht mit dir über Einkaufsgewohnheiten. In eurem gemeinsamen Umfeld gehen die Meinungen dazu weit auseinander.",1772949964546,70,"soviel ich weiß","critical-8-c2-list3",50,"low","Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?","high",1,1,0,1,"8","Höherer Abschluss",100,"lokalkauf",3,"low",54,"Der Einkauf bei lokalen Händlern stärkt",2,"615323ff5ce68a5dbe37eebe","comprehension_marker_assignment_balanced.csv",161987,FALSE,"69aca37e417992637b6ed8da",10988,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?","öfter bei lokalen Geschäften einkaufen",10988,1772949802559,58,1.56687494312043,1,-1,0.5,0.7,0.54,0.6996875,0.5399375,"Prag. Controversy: high
Goal: low"
"3610",FALSE,"5","","Deutsch","critical","high",64,77,TRUE,"entscheidend für die kognitive Leistungsfähigkeit.","69ad10e7e1735c0b213c626f","Dein/e Gesprächspartner/in spricht mit dir über Gesundheit und Wohlbefinden. In eurem gemeinsamen Umfeld gehen die Meinungen dazu stark auseinander.",1772949964546,77,"ja","critical-5-c3-list3",50,"high","Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?","high",5,1,0,5,"5","Höherer Abschluss",100,"schlaf",3,"high",64,"Ausreichend Schlaf ist",3,"615323ff5ce68a5dbe37eebe","comprehension_marker_assignment_balanced.csv",161987,FALSE,"69aca37e417992637b6ed8da",6040,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?","auf feste Schlafzeiten achten",6040,1772949802559,74,0.0921691143012016,2,0,0.5,0.77,0.64,0.769578125,0.63978125,"Prag. Controversy: high
Goal: high"
"3610",FALSE,"3","","Deutsch","critical","low",63,93,TRUE,"den Stadtverkehr erheblich.","69ad10e7e1735c0b213c626f","Dein/e Gesprächspartner/in spricht mit dir über Verkehrspolitik in eurer Stadt. In eurem gemeinsamen Umfeld sehen das die meisten ähnlich, dass ein ausgebautes Nahverkehrsnetz den Stadtverkehr erheblich entlastet.",1772949964546,93,"bekanntlich","critical-3-c1-list3",50,"high","Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?","low",7,1,0,7,"3","Höherer Abschluss",100,"stadtverkehr",3,"high",63,"Ein ausgebautes Nahverkehrsnetz entlastet",1,"615323ff5ce68a5dbe37eebe","comprehension_marker_assignment_balanced.csv",161987,FALSE,"69aca37e417992637b6ed8da",8651,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?","häufiger auf öffentliche Verkehrsmittel umsteigen",8651,1772949802559,71,0.368676457204806,3,1,-0.5,0.93,0.63,0.929328125,0.629796875,"Prag. Controversy: low
Goal: high"
"3610",FALSE,"2","","Deutsch","critical","low",52,70,TRUE,"die Gesundheit.","69ad10e7e1735c0b213c626f","Dein/e Gesprächspartner/in spricht mit dir über Ernährungsgewohnheiten. In eurem gemeinsamen Umfeld teilen die meisten die Überzeugung, dass eine überwiegend pflanzliche Ernährung die Gesundheit fördert.",1772949964546,70,"soviel ich weiß","critical-2-c0-list3",50,"low","Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?","low",9,1,0,9,"2","Höherer Abschluss",100,"ernaehrung",3,"low",52,"Eine überwiegend pflanzliche Ernährung fördert",0,"615323ff5ce68a5dbe37eebe","comprehension_marker_assignment_balanced.csv",161987,FALSE,"69aca37e417992637b6ed8da",5692,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?","mehr pflanzliche Lebensmittel in deinen Alltag einbauen",5691,1772949802559,62,1.19819848591562,1,-1,-0.5,0.7,0.52,0.6996875,0.51996875,"Prag. Controversy: low
Goal: low"
"3610",FALSE,"7","","Deutsch","critical","low",64,88,TRUE,"das Risiko für Herz-Kreislauf-Erkrankungen deutlich.","69ad10e7e1735c0b213c626f","Dein/e Gesprächspartner/in spricht mit dir über gesunden Lebensstil. In eurem gemeinsamen Umfeld teilen die meisten die Ansicht, dass regelmäßige körperliche Bewegung das Risiko für Herz-Kreislauf-Erkrankungen deutlich senkt.",1772949964546,88,"bekanntlich","critical-7-c1-list3",50,"high","Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?","low",10,1,0,10,"7","Höherer Abschluss",100,"sport",3,"high",64,"Regelmäßige körperliche Bewegung senkt",1,"615323ff5ce68a5dbe37eebe","comprehension_marker_assignment_balanced.csv",161987,FALSE,"69aca37e417992637b6ed8da",6731,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?","regelmäßig Sport in deinen Alltag integrieren",6731,1772949802559,83,-0.737352914409613,3,1,-0.5,0.88,0.64,0.87940625,0.63978125,"Prag. Controversy: low
Goal: high"
"3610",FALSE,"4","","Deutsch","critical","high",72,83,TRUE,"in der heutigen Arbeitswelt unverzichtbar.","69ad10e7e1735c0b213c626f","Dein/e Gesprächspartner/in spricht mit dir über Berufsausbildung und Weiterbildung. In eurem gemeinsamen Umfeld gehen die Meinungen dazu stark auseinander.",1772949964546,83,"ja","critical-4-c2-list3",50,"low","Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?","high",12,1,0,12,"4","Höherer Abschluss",100,"digitalisierung",3,"low",72,"Digitale Kompetenzen sind",2,"615323ff5ce68a5dbe37eebe","comprehension_marker_assignment_balanced.csv",161987,FALSE,"69aca37e417992637b6ed8da",12312,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?","regelmäßig digitale Weiterbildungsangebote nutzen",12312,1772949802559,85,-0.921691143012016,2,0,0.5,0.83,0.72,0.829484375,0.71965625,"Prag. Controversy: high
Goal: low"
"3610",FALSE,"1","","Deutsch","critical","high",55,90,TRUE,"durch menschliche Aktivitäten verursacht.","69ad10e7e1735c0b213c626f","Dein/e Gesprächspartner/in spricht mit dir über den Klimawandel. In eurem gemeinsamen Umfeld gehen die Meinungen dazu allerdings stark auseinander.",1772949964546,90,"bekanntlich","critical-1-c3-list3",50,"high","Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?","high",14,1,0,14,"1","Höherer Abschluss",100,"klimawandel",3,"high",55,"Der Klimawandel wird",3,"615323ff5ce68a5dbe37eebe","comprehension_marker_assignment_balanced.csv",161987,FALSE,"69aca37e417992637b6ed8da",5236,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?","auf Flugreisen verzichten",5236,1772949802559,88,-1.19819848591562,3,1,0.5,0.9,0.55,0.899375,0.549921875,"Prag. Controversy: high
Goal: high"
"3610",FALSE,"6","","Deutsch","critical","low",56,75,TRUE,"den Meeresökosystemen erheblich.","69ad10e7e1735c0b213c626f","Dein/e Gesprächspartner/in spricht mit dir über Umweltschutz. In eurem gemeinsamen Umfeld teilen die meisten die Überzeugung, dass Einwegplastik den Meeresökosystemen erheblich schadet.",1772949964546,75,"soviel ich weiß","critical-6-c0-list3",50,"low","Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?","low",15,1,0,15,"6","Höherer Abschluss",100,"plastik",3,"low",56,"Einwegplastik schadet",0,"615323ff5ce68a5dbe37eebe","comprehension_marker_assignment_balanced.csv",161987,FALSE,"69aca37e417992637b6ed8da",5890,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?","konsequent auf Einwegplastik verzichten",5890,1772949802559,79,-0.368676457204806,1,-1,-0.5,0.75,0.56,0.749609375,0.55990625,"Prag. Controversy: low
Goal: low"
"3611",FALSE,"8","","Deutsch","critical","high",8,15,TRUE,"die regionale Wirtschaft nachhaltig.","69ad10c182ae921394d7131b","Dein/e Gesprächspartner/in spricht mit dir über Einkaufsgewohnheiten. In eurem gemeinsamen Umfeld gehen die Meinungen dazu weit auseinander.",1772950295926,15,"soviel ich weiß","critical-8-c3-list0",32,"high","Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?","high",4,1,0,4,"8","Höherer Abschluss",100,"lokalkauf",0,"high",8,"Der Einkauf bei lokalen Händlern stärkt",3,"5b8eab705206680001da3583","comprehension_marker_assignment_balanced.csv",593447,FALSE,"69aca37e417992637b6ed8da",5513,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?","öfter bei lokalen Geschäften einkaufen",5513,1772949702479,58,1.56687494312043,1,-1,0.5,0.15,0.08,0.150546875,0.08065625,"Prag. Controversy: high
Goal: high"
"3611",FALSE,"4","","Deutsch","critical","high",22,22,TRUE,"in der heutigen Arbeitswelt unverzichtbar.","69ad10c182ae921394d7131b","Dein/e Gesprächspartner/in spricht mit dir über Berufsausbildung und Weiterbildung. In eurem gemeinsamen Umfeld gehen die Meinungen dazu stark auseinander.",1772950295926,22,"bekanntlich","critical-4-c3-list0",32,"high","Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?","high",5,1,0,5,"4","Höherer Abschluss",100,"digitalisierung",0,"high",22,"Digitale Kompetenzen sind",3,"5b8eab705206680001da3583","comprehension_marker_assignment_balanced.csv",593447,FALSE,"69aca37e417992637b6ed8da",4608,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?","regelmäßig digitale Weiterbildungsangebote nutzen",4608,1772949702479,85,-0.921691143012016,3,1,0.5,0.22,0.22,0.2204375,0.2204375,"Prag. Controversy: high
Goal: high"
