"item_id","topic","condition_index","pc_prag","g_implied","pc_prop_c","mean_pc_prop_rating","prob_soviel","prob_ja","prob_bekanntlich","modal_marker","modal_prob","modal_margin"
1,"klimawandel",0,"low","low",-1.19819848591562,88,0.226771622880597,0.344522679169012,0.428705697950391,"bekanntlich",0.428705697950391,0.0841830187813784
1,"klimawandel",1,"low","high",-1.19819848591562,88,0.145695579998635,0.303606578340255,0.55069784166111,"bekanntlich",0.55069784166111,0.247091263320856
1,"klimawandel",2,"high","low",-1.19819848591562,88,0.209164740410351,0.338450129694298,0.452385129895351,"bekanntlich",0.452385129895351,0.113935000201053
1,"klimawandel",3,"high","high",-1.19819848591562,88,0.159186315599277,0.313114130581208,0.527699553819515,"bekanntlich",0.527699553819515,0.214585423238307
2,"ernaehrung",0,"low","low",1.19819848591562,62,0.317593915120913,0.35754709707401,0.324858987805076,"ja",0.35754709707401,0.0326881092689336
2,"ernaehrung",1,"low","high",1.19819848591562,62,0.164763698136755,0.316294502588907,0.518941799274338,"bekanntlich",0.518941799274338,0.20264729668543
2,"ernaehrung",2,"high","low",1.19819848591562,62,0.287216736467888,0.356337850633054,0.356445412899057,"bekanntlich",0.356445412899057,0.000107562266002947
2,"ernaehrung",3,"high","high",1.19819848591562,62,0.296454560063696,0.356923856710335,0.346621583225968,"ja",0.356923856710335,0.0103022734843666
3,"stadtverkehr",0,"low","low",0.368676457204806,71,0.283349774291286,0.357706061412997,0.358944164295717,"bekanntlich",0.358944164295717,0.00123810288271908
3,"stadtverkehr",1,"low","high",0.368676457204806,71,0.156417435489366,0.313430129749108,0.530152434761526,"bekanntlich",0.530152434761526,0.216722305012418
3,"stadtverkehr",2,"high","low",0.368676457204806,71,0.257565526533506,0.354047816825148,0.388386656641346,"bekanntlich",0.388386656641346,0.034338839816198
3,"stadtverkehr",3,"high","high",0.368676457204806,71,0.242262109008861,0.350709505288415,0.407028385702724,"bekanntlich",0.407028385702724,0.0563188804143097
4,"digitalisierung",0,"low","low",-0.921691143012016,85,0.235877552979649,0.348038941716958,0.416083505303393,"bekanntlich",0.416083505303393,0.0680445635864354
4,"digitalisierung",1,"low","high",-0.921691143012016,85,0.14711282158265,0.305701688121293,0.547185490296057,"bekanntlich",0.547185490296057,0.241483802174764
4,"digitalisierung",2,"high","low",-0.921691143012016,85,0.216914106304674,0.342168351254753,0.440917542440573,"bekanntlich",0.440917542440573,0.0987491911858204
4,"digitalisierung",3,"high","high",-0.921691143012016,85,0.171859337313829,0.321754489447943,0.506386173238228,"bekanntlich",0.506386173238228,0.184631683790285
5,"schlaf",0,"low","low",0.0921691143012016,74,0.272528960057781,0.356628927087123,0.370842112855096,"bekanntlich",0.370842112855096,0.0142131857679736
5,"schlaf",1,"low","high",0.0921691143012016,74,0.154045541202077,0.312087850602381,0.533866608195542,"bekanntlich",0.533866608195542,0.221778757593161
5,"schlaf",2,"high","low",0.0921691143012016,74,0.248257310422618,0.352323053172701,0.399419636404681,"bekanntlich",0.399419636404681,0.0470965832319803
5,"schlaf",3,"high","high",0.0921691143012016,74,0.225655079492829,0.346339317340032,0.428005603167139,"bekanntlich",0.428005603167139,0.0816662858271065
6,"plastik",0,"low","low",-0.368676457204806,79,0.25525421368867,0.353603167360611,0.391142618950719,"bekanntlich",0.391142618950719,0.0375394515901087
6,"plastik",1,"low","high",-0.368676457204806,79,0.150552151022654,0.309455502897206,0.53999234608014,"bekanntlich",0.53999234608014,0.230536843182934
6,"plastik",2,"high","low",-0.368676457204806,79,0.233451348051977,0.348425321749673,0.41812333019835,"bekanntlich",0.41812333019835,0.0696980084486769
6,"plastik",3,"high","high",-0.368676457204806,79,0.199786258956913,0.336711358662493,0.463502382380594,"bekanntlich",0.463502382380594,0.126791023718102
7,"sport",0,"low","low",-0.737352914409613,83,0.242166280082818,0.350118096081295,0.407715623835887,"bekanntlich",0.407715623835887,0.0575975277545926
7,"sport",1,"low","high",-0.737352914409613,83,0.148168909701165,0.307020358675112,0.544810731623723,"bekanntlich",0.544810731623723,0.237790372948612
7,"sport",2,"high","low",-0.737352914409613,83,0.222273858173233,0.344435332974624,0.433290808852143,"bekanntlich",0.433290808852143,0.0888554758775199
7,"sport",3,"high","high",-0.737352914409613,83,0.180785650887995,0.327110574043077,0.492103775068929,"bekanntlich",0.492103775068929,0.164993201025852
8,"lokalkauf",0,"low","low",1.56687494312043,58,0.333522328917811,0.355866692223774,0.310610978858415,"ja",0.355866692223774,0.0223443633059631
8,"lokalkauf",1,"low","high",1.56687494312043,58,0.169050941110324,0.316974439429452,0.513974619460224,"bekanntlich",0.513974619460224,0.197000180030772
8,"lokalkauf",2,"high","low",1.56687494312043,58,0.301119559501655,0.355953697957308,0.342926742541038,"ja",0.355953697957308,0.0130269554162701
8,"lokalkauf",3,"high","high",1.56687494312043,58,0.322311006944585,0.356280670943625,0.32140832211179,"ja",0.356280670943625,0.0339696639990402
