"outcome","contrast","mean","lower","upper","p_gt_0","p_lt_0"
"Inferred goal strength","H_strong_vs_weak_low",8.94938949781267,5.17269591788934,12.7592288124872,1,0
"Inferred goal strength","H_strong_vs_weak_high",11.0224594442717,5.19242204276746,16.5377737965249,0.999833333333333,0.000166666666666667
"Inferred goal strength","mid_vs_weak_low",4.6573630763448,2.65138747745507,6.71734256666699,1,0
"Inferred goal strength","mid_vs_weak_high",5.80742679711562,2.65211317425553,8.89660110266694,0.999833333333333,0.000166666666666667
"Inferred goal strength","strong_vs_mid_low",4.29202642146787,2.52547391473951,6.04985132466011,1,0
"Inferred goal strength","strong_vs_mid_high",5.2150326471561,2.52674597884732,7.65729100748212,0.999833333333333,0.000166666666666667
"Inferred goal strength","credibility_discount",2.07306994645905,-4.77571649580268,8.50689077526389,0.739666666666667,0.260333333333333
"Adoption likelihood","H_strong_vs_weak_low",1.76018967881178,-3.12776955139081,6.54536782735489,0.756166666666667,0.243833333333333
"Adoption likelihood","H_strong_vs_weak_high",3.09465565852376,-4.14675897431527,10.0753855406846,0.801333333333333,0.198666666666667
"Adoption likelihood","mid_vs_weak_low",0.887377325987131,-1.55289748813062,3.30457487442009,0.756166666666667,0.243833333333333
"Adoption likelihood","mid_vs_weak_high",1.55793304769749,-2.07113103927038,5.09593964232686,0.801333333333333,0.198666666666667
"Adoption likelihood","strong_vs_mid_low",0.872812352824651,-1.5703071497367,3.2398118377358,0.756166666666667,0.243833333333333
"Adoption likelihood","strong_vs_mid_high",1.53672261082627,-2.07562793504488,4.99139967811944,0.801333333333333,0.198666666666667
"Adoption likelihood","credibility_discount",1.33446597971198,-7.18784790794778,9.74215729560483,0.619666666666667,0.380333333333333
