"submission_id","list_num","trial_index","trial_id","topic","is_filler","condition_index","pc_prag","g","pc_prop_rating","selected_marker","marker_index","rt"
1,0,1,8,"lokalkauf",FALSE,3,"high","high",58,"bekanntlich",3,2417
1,0,2,2,"ernaehrung",FALSE,1,"low","high",62,"ja",2,5449
1,0,3,3,"stadtverkehr",FALSE,2,"high","low",71,"ja",2,5309
1,0,4,108,"laerm",TRUE,NA,NA,NA,NA,"soviel ich weiß",1,3491
1,0,5,7,"sport",FALSE,2,"high","low",83,"soviel ich weiß",1,2871
1,0,6,1,"klimawandel",FALSE,0,"low","low",88,"bekanntlich",3,5934
1,0,7,5,"schlaf",FALSE,0,"low","low",74,"ja",2,6832
1,0,8,107,"frischluft",TRUE,NA,NA,NA,NA,"ja",2,6074
1,0,9,6,"plastik",FALSE,1,"low","high",79,"bekanntlich",3,4406
1,0,10,105,"urlaub",TRUE,NA,NA,NA,NA,"bekanntlich",3,3606
1,0,11,101,"bahn",TRUE,NA,NA,NA,NA,"soviel ich weiß",1,5378
1,0,12,4,"digitalisierung",FALSE,3,"high","high",85,"bekanntlich",3,6767
1,0,13,106,"trinken",TRUE,NA,NA,NA,NA,"ja",2,3594
1,0,14,104,"kaffee",TRUE,NA,NA,NA,NA,"ja",2,5384
1,0,15,103,"kochen",TRUE,NA,NA,NA,NA,"bekanntlich",3,4959
1,0,16,102,"leselicht",TRUE,NA,NA,NA,NA,"soviel ich weiß",1,4563
2,1,1,1,"klimawandel",FALSE,1,"low","high",88,"bekanntlich",3,3224
2,1,2,104,"kaffee",TRUE,NA,NA,NA,NA,"soviel ich weiß",1,4132
2,1,3,101,"bahn",TRUE,NA,NA,NA,NA,"ja",2,4164
2,1,4,106,"trinken",TRUE,NA,NA,NA,NA,"bekanntlich",3,3356
2,1,5,5,"schlaf",FALSE,1,"low","high",74,"bekanntlich",3,3410
2,1,6,103,"kochen",TRUE,NA,NA,NA,NA,"ja",2,4571
2,1,7,105,"urlaub",TRUE,NA,NA,NA,NA,"bekanntlich",3,3908
2,1,8,8,"lokalkauf",FALSE,0,"low","low",58,"ja",2,5438
2,1,9,107,"frischluft",TRUE,NA,NA,NA,NA,"ja",2,3359
2,1,10,7,"sport",FALSE,3,"high","high",83,"bekanntlich",3,3283
2,1,11,6,"plastik",FALSE,2,"high","low",79,"soviel ich weiß",1,3736
2,1,12,108,"laerm",TRUE,NA,NA,NA,NA,"ja",2,4498
2,1,13,102,"leselicht",TRUE,NA,NA,NA,NA,"soviel ich weiß",1,3462
2,1,14,2,"ernaehrung",FALSE,2,"high","low",62,"soviel ich weiß",1,4024
2,1,15,4,"digitalisierung",FALSE,0,"low","low",85,"ja",2,5060
2,1,16,3,"stadtverkehr",FALSE,3,"high","high",71,"ja",2,4809
3,2,1,2,"ernaehrung",FALSE,3,"high","high",62,"soviel ich weiß",1,3816
3,2,2,8,"lokalkauf",FALSE,1,"low","high",58,"ja",2,3161
3,2,3,107,"frischluft",TRUE,NA,NA,NA,NA,"bekanntlich",3,4743
3,2,4,108,"laerm",TRUE,NA,NA,NA,NA,"ja",2,3896
3,2,5,101,"bahn",TRUE,NA,NA,NA,NA,"soviel ich weiß",1,3539
3,2,6,103,"kochen",TRUE,NA,NA,NA,NA,"ja",2,4786
3,2,7,105,"urlaub",TRUE,NA,NA,NA,NA,"bekanntlich",3,4580
3,2,8,102,"leselicht",TRUE,NA,NA,NA,NA,"soviel ich weiß",1,2485
3,2,9,7,"sport",FALSE,0,"low","low",83,"bekanntlich",3,4319
3,2,10,3,"stadtverkehr",FALSE,0,"low","low",71,"ja",2,5196
3,2,11,104,"kaffee",TRUE,NA,NA,NA,NA,"ja",2,5111
3,2,12,1,"klimawandel",FALSE,2,"high","low",88,"soviel ich weiß",1,3686
3,2,13,4,"digitalisierung",FALSE,1,"low","high",85,"bekanntlich",3,1658
3,2,14,6,"plastik",FALSE,3,"high","high",79,"bekanntlich",3,3221
3,2,15,5,"schlaf",FALSE,2,"high","low",74,"ja",2,6769
3,2,16,106,"trinken",TRUE,NA,NA,NA,NA,"bekanntlich",3,2467
4,3,1,1,"klimawandel",FALSE,3,"high","high",88,"bekanntlich",3,7152
4,3,2,106,"trinken",TRUE,NA,NA,NA,NA,"ja",2,2478
4,3,3,3,"stadtverkehr",FALSE,1,"low","high",71,"bekanntlich",3,3468
4,3,4,104,"kaffee",TRUE,NA,NA,NA,NA,"bekanntlich",3,3920
4,3,5,5,"schlaf",FALSE,3,"high","high",74,"soviel ich weiß",1,5786
4,3,6,8,"lokalkauf",FALSE,2,"high","low",58,"soviel ich weiß",1,4687
4,3,7,6,"plastik",FALSE,0,"low","low",79,"bekanntlich",3,4706
4,3,8,7,"sport",FALSE,1,"low","high",83,"bekanntlich",3,4732
4,3,9,103,"kochen",TRUE,NA,NA,NA,NA,"bekanntlich",3,1370
4,3,10,2,"ernaehrung",FALSE,0,"low","low",62,"ja",2,3744
4,3,11,108,"laerm",TRUE,NA,NA,NA,NA,"soviel ich weiß",1,4748
4,3,12,102,"leselicht",TRUE,NA,NA,NA,NA,"soviel ich weiß",1,2740
4,3,13,105,"urlaub",TRUE,NA,NA,NA,NA,"soviel ich weiß",1,2410
4,3,14,107,"frischluft",TRUE,NA,NA,NA,NA,"bekanntlich",3,5528
4,3,15,101,"bahn",TRUE,NA,NA,NA,NA,"bekanntlich",3,3798
4,3,16,4,"digitalisierung",FALSE,2,"high","low",85,"ja",2,3731
5,0,1,5,"schlaf",FALSE,0,"low","low",74,"ja",2,3798
5,0,2,6,"plastik",FALSE,1,"low","high",79,"bekanntlich",3,7560
5,0,3,4,"digitalisierung",FALSE,3,"high","high",85,"ja",2,6720
5,0,4,2,"ernaehrung",FALSE,1,"low","high",62,"ja",2,1732
