"item_id","topic","condition_index","modal_marker"
1,"klimawandel",0,"bekanntlich"
1,"klimawandel",1,"bekanntlich"
1,"klimawandel",2,"bekanntlich"
1,"klimawandel",3,"bekanntlich"
2,"ernaehrung",0,"ja"
2,"ernaehrung",1,"bekanntlich"
2,"ernaehrung",2,"bekanntlich"
2,"ernaehrung",3,"ja"
3,"stadtverkehr",0,"bekanntlich"
3,"stadtverkehr",1,"bekanntlich"
3,"stadtverkehr",2,"bekanntlich"
3,"stadtverkehr",3,"bekanntlich"
4,"digitalisierung",0,"bekanntlich"
4,"digitalisierung",1,"bekanntlich"
4,"digitalisierung",2,"bekanntlich"
4,"digitalisierung",3,"bekanntlich"
5,"schlaf",0,"bekanntlich"
5,"schlaf",1,"bekanntlich"
5,"schlaf",2,"bekanntlich"
5,"schlaf",3,"bekanntlich"
6,"plastik",0,"bekanntlich"
6,"plastik",1,"bekanntlich"
6,"plastik",2,"bekanntlich"
6,"plastik",3,"bekanntlich"
7,"sport",0,"bekanntlich"
7,"sport",1,"bekanntlich"
7,"sport",2,"bekanntlich"
7,"sport",3,"bekanntlich"
8,"lokalkauf",0,"ja"
8,"lokalkauf",1,"bekanntlich"
8,"lokalkauf",2,"ja"
8,"lokalkauf",3,"ja"
